user1	user2	co-occurance number
1023	27443	7
1023	27629	9
1023	22205	10
1023	670	7
1023	15923	8
1023	227	9
1023	27420	7
1023	24469	9
1023	15937	8
1023	5142	7
1023	4931	7
1023	4649	7
1023	530	7
1023	11269	10
1023	12818	10
1023	30896	10
26817	25420	7
26817	18193	7
26817	17478	7
26817	16909	7
26817	26404	7
26817	223	7
20105	30322	7
20105	18662	7
20105	9991	7
20105	14919	7
20105	9018	7
20105	8191	7
20105	25420	7
20105	21666	7
20105	6593	7
20105	16901	7
20105	26404	7
20105	9438	7
20105	5387	7
20105	31016	7
20105	16865	7
20105	29249	7
20105	29117	7
20105	8811	7
20105	12464	7
20105	26918	7
20105	12320	7
20105	2084	7
20105	23910	7
20105	22205	7
20105	30896	7
15088	2274	7
15088	26651	7
15088	26666	8
15088	7124	7
15088	16691	7
15088	4902	8
15088	18183	7
15088	9446	7
15088	11510	7
15088	9117	8
15088	10873	7
15088	30322	9
15088	11306	7
15088	11153	8
15088	10985	9
15088	18662	7
15088	18012	8
15088	2193	7
15088	18611	8
15088	2454	8
15088	26980	7
15088	4266	9
15088	29339	7
15088	27256	7
15088	24268	7
15088	11660	9
15088	12076	8
15088	15755	7
15088	16136	7
15088	24149	8
15088	15725	7
15088	9991	9
15088	26797	7
15088	10386	7
15088	20629	10
15088	28880	7
15088	510	8
15088	9018	9
15088	28091	8
15088	7726	7
15088	29883	9
15088	4026	7
15088	5789	7
15088	25047	8
15088	24504	7
15088	8816	8
15088	25420	9
15088	23259	7
15088	18438	8
15088	24200	8
15088	10392	8
15088	18193	9
15088	1188	7
15088	24939	7
15088	28944	7
15088	4124	7
15088	21666	7
15088	17877	9
15088	5389	7
15088	7180	7
15088	10700	7
15088	19227	10
15088	6345	10
15088	8524	7
15088	10698	7
15088	30596	7
15088	28956	8
15088	18487	9
15088	13729	8
15088	15344	8
15088	8474	7
15088	5375	8
15088	25326	7
15088	22896	7
15088	17478	7
15088	27126	9
15088	4682	7
15088	7932	9
15088	6593	8
15088	455	7
15088	15604	9
15088	16719	8
15088	20102	7
15088	5370	9
15088	17811	7
15088	29717	8
15088	26158	9
15088	23819	7
15088	16901	7
15088	28669	7
15088	11387	8
15088	16909	8
15088	17346	9
15088	29782	7
15088	30374	8
15088	26404	8
15088	27163	8
15088	17603	7
15088	19296	10
15088	11941	7
15088	23545	7
15088	10143	7
15088	17196	7
15088	5768	8
15088	9438	9
15088	8297	7
15088	920	7
15088	5387	8
15088	10099	7
15088	23117	8
15088	30937	7
15088	15094	8
15088	13147	10
15088	17489	8
15088	24687	8
15088	17225	8
15088	1152	8
15088	3983	10
15088	31016	8
15088	7117	9
15088	8796	8
15088	16307	7
15088	22979	7
15088	16865	7
15088	4785	8
15088	18155	9
15088	29249	9
15088	12195	9
15088	4729	8
15088	811	8
15088	20687	7
15088	223	10
15088	1245	7
15088	15848	9
15088	22940	8
15088	4732	8
15088	24690	10
15088	13658	7
15088	3307	10
15088	27523	8
15088	13503	7
15088	25058	8
15088	10352	9
15088	7017	7
15088	6811	7
15088	11260	7
15088	15853	8
15088	17149	7
15088	4053	8
15088	29117	8
15088	5514	7
15088	7102	9
15088	30952	7
15088	28113	7
15088	11256	7
15088	26355	7
15088	12390	7
15088	4455	7
15088	17809	8
15088	12464	7
15088	7879	7
15088	15076	7
15088	1926	7
15088	10285	8
15088	10312	7
15088	26918	9
15088	11329	7
15088	16572	7
15088	28787	9
15088	7505	7
15088	21109	8
15088	7841	7
15088	10709	7
15088	12320	8
15088	17856	10
15088	24094	9
15088	11493	7
15088	2889	8
15088	2024	8
15088	20520	8
15088	7467	8
15088	13578	10
15088	2084	10
15088	15922	9
15088	30392	8
15088	15603	9
15088	16926	10
15088	24146	7
15088	2946	7
15088	10978	7
15088	5657	7
15088	13256	8
15088	23910	10
15088	19325	8
15088	26288	7
15088	22794	8
15088	12029	9
15088	14050	7
15088	16885	8
15088	3313	10
15088	15823	8
15088	25456	7
15088	27629	7
15088	22205	9
15088	11218	7
15088	227	7
15088	27420	7
15088	24469	8
15088	15937	8
15088	2767	7
15088	12261	7
15088	11269	9
15088	12818	9
15088	30896	8
15088	1255	7
12209	9117	7
12209	4266	7
12209	24200	7
12209	26404	7
12209	3307	7
12209	27523	7
12209	12320	7
12209	15823	7
12209	22205	7
12209	12818	7
916	16691	7
916	4902	7
916	18183	7
916	10873	7
916	30322	7
916	11306	7
916	10985	7
916	18012	7
916	16543	7
916	24149	7
916	15725	8
916	9991	8
916	4960	7
916	510	9
916	9018	8
916	24504	7
916	8816	7
916	25420	8
916	2969	7
916	10392	7
916	18193	8
916	18046	7
916	28944	7
916	4124	7
916	21666	7
916	28956	7
916	18487	7
916	13729	7
916	5375	9
916	25326	7
916	22896	7
916	17478	7
916	6593	8
916	593	7
916	26158	7
916	16901	8
916	16909	9
916	26404	7
916	17196	7
916	5768	7
916	9438	8
916	5070	7
916	23117	7
916	30937	7
916	26539	7
916	8796	7
916	22502	8
916	5022	7
916	24325	8
916	29249	8
916	4729	8
916	20687	7
916	223	9
916	3307	7
916	10352	7
916	7017	7
916	17149	7
916	29117	7
916	7102	8
916	4653	7
916	648	7
916	25332	7
916	7879	8
916	28800	7
916	28787	8
916	12320	7
916	17856	7
916	20520	7
916	21659	7
916	13578	8
916	2084	8
916	16926	8
916	13256	7
916	23910	8
916	3313	7
916	27629	7
916	22205	8
916	227	7
916	24469	7
916	15937	7
916	4649	7
916	12818	8
916	30896	9
29078	4902	7
29078	18012	7
29078	18611	7
29078	510	7
29078	2969	7
29078	18193	7
29078	5389	7
29078	19227	7
29078	25326	7
29078	15604	7
29078	593	7
29078	26404	7
29078	17196	7
29078	3307	7
29078	29117	7
29078	12320	7
29078	2084	7
29078	13256	7
29078	3313	7
29078	22205	7
29078	12818	7
2186	4902	8
2186	9117	8
2186	2307	7
2186	4186	8
2186	30322	7
2186	11153	7
2186	18012	8
2186	17493	7
2186	2454	7
2186	4266	8
2186	7473	7
2186	11938	7
2186	27256	7
2186	9643	7
2186	20629	7
2186	510	7
2186	29883	7
2186	15729	8
2186	8816	7
2186	25420	7
2186	12313	8
2186	19638	7
2186	24200	7
2186	1139	7
2186	2969	7
2186	18193	7
2186	4124	7
2186	5389	7
2186	1019	8
2186	19227	7
2186	18487	7
2186	25326	7
2186	7932	7
2186	6593	7
2186	15604	7
2186	593	7
2186	5797	7
2186	16909	7
2186	8637	8
2186	24475	7
2186	26404	8
2186	11415	7
2186	17196	7
2186	9438	7
2186	2527	7
2186	5387	7
2186	17489	7
2186	31016	7
2186	22459	8
2186	4785	7
2186	5022	7
2186	29249	7
2186	5341	7
2186	811	8
2186	15848	7
2186	24274	7
2186	3307	8
2186	27523	7
2186	22463	7
2186	846	8
2186	4053	7
2186	29117	7
2186	5514	7
2186	648	8
2186	17809	8
2186	4680	8
2186	4261	7
2186	27205	7
2186	8735	8
2186	12320	8
2186	24094	7
2186	312	7
2186	1026	7
2186	8417	7
2186	2024	7
2186	17376	8
2186	7467	7
2186	2084	8
2186	15922	7
2186	15603	8
2186	28642	8
2186	13256	8
2186	2493	7
2186	3313	7
2186	15823	8
2186	22205	7
2186	227	7
2186	5142	7
2186	22963	7
2186	12818	8
2186	30896	7
2274	26666	7
2274	16691	7
2274	4902	8
2274	11510	7
2274	9117	8
2274	10873	7
2274	30322	8
2274	11153	8
2274	10985	8
2274	18662	7
2274	18012	8
2274	2454	7
2274	8824	7
2274	4266	8
2274	27256	7
2274	11660	7
2274	24149	7
2274	15725	7
2274	9643	7
2274	9991	8
2274	9974	7
2274	14919	7
2274	20629	8
2274	28880	7
2274	510	7
2274	9018	8
2274	7726	7
2274	29883	7
2274	25047	7
2274	8191	7
2274	24504	7
2274	8816	8
2274	25420	8
2274	23259	8
2274	24200	7
2274	10392	7
2274	18193	8
2274	1188	7
2274	24939	7
2274	28944	7
2274	4124	8
2274	21666	7
2274	5389	7
2274	7180	7
2274	10700	7
2274	19227	7
2274	6345	8
2274	8524	7
2274	28956	8
2274	18487	7
2274	15344	7
2274	5375	8
2274	25326	7
2274	17478	7
2274	27126	7
2274	7932	8
2274	6593	8
2274	455	7
2274	15604	7
2274	16719	7
2274	20102	7
2274	5370	7
2274	17811	7
2274	29717	7
2274	26158	8
2274	16901	7
2274	11387	7
2274	16909	8
2274	17346	8
2274	30277	7
2274	26404	7
2274	17603	7
2274	19296	7
2274	11941	7
2274	10143	7
2274	17196	7
2274	5768	8
2274	9438	8
2274	11599	7
2274	920	7
2274	5387	7
2274	5070	7
2274	23117	7
2274	13147	7
2274	17489	8
2274	17225	8
2274	3983	8
2274	31016	7
2274	7117	8
2274	16865	7
2274	18155	7
2274	29249	8
2274	12195	7
2274	4729	7
2274	811	8
2274	223	8
2274	1245	8
2274	15848	8
2274	22940	8
2274	4732	7
2274	24690	7
2274	3307	8
2274	27523	8
2274	10352	8
2274	6811	7
2274	15853	7
2274	17149	7
2274	4053	7
2274	29117	8
2274	5514	7
2274	7102	8
2274	1905	7
2274	17809	8
2274	7879	7
2274	10312	7
2274	1144	7
2274	26918	8
2274	11329	7
2274	28787	7
2274	20324	7
2274	7841	7
2274	12320	8
2274	13710	7
2274	17856	8
2274	24094	7
2274	2889	7
2274	2024	7
2274	20520	8
2274	21659	7
2274	7467	8
2274	13578	8
2274	2084	8
2274	15922	8
2274	15603	8
2274	16926	8
2274	10978	7
2274	13256	7
2274	23910	8
2274	19325	7
2274	26288	8
2274	22794	7
2274	12029	8
2274	14050	8
2274	16885	7
2274	3313	8
2274	15823	8
2274	27629	8
2274	22205	8
2274	24469	7
2274	15937	7
2274	11269	7
2274	12818	8
2274	30896	8
26651	26666	8
26651	16691	8
26651	4902	9
26651	11800	9
26651	11510	7
26651	16100	8
26651	2307	7
26651	30322	11
26651	24965	7
26651	236	7
26651	10985	9
26651	18662	8
26651	18012	9
26651	30396	7
26651	2454	9
26651	4266	7
26651	27256	9
26651	12076	7
26651	15755	7
26651	24149	7
26651	15725	8
26651	9643	7
26651	9991	8
26651	26797	7
26651	14919	7
26651	9329	8
26651	510	9
26651	9018	9
26651	28091	7
26651	7726	8
26651	15729	7
26651	24504	10
26651	8816	9
26651	25420	11
26651	18438	9
26651	24200	9
26651	2969	8
26651	19180	7
26651	5121	7
26651	18193	10
26651	1188	10
26651	18046	7
26651	28944	7
26651	4124	8
26651	5389	8
26651	10700	7
26651	19227	9
26651	11390	7
26651	17890	7
26651	28956	8
26651	3318	7
26651	18487	10
26651	13729	8
26651	15344	7
26651	5375	8
26651	25326	7
26651	17478	8
26651	7932	7
26651	6593	9
26651	15604	9
26651	16719	7
26651	593	8
26651	20102	8
26651	5370	8
26651	29717	7
26651	26158	9
26651	16901	8
26651	16909	11
26651	29782	8
26651	8637	7
26651	26404	11
26651	17603	8
26651	23545	7
26651	27368	9
26651	17196	7
26651	5768	8
26651	9438	10
26651	5387	10
26651	5070	8
26651	23117	9
26651	30937	7
26651	5825	8
26651	13147	9
26651	1152	9
26651	31016	10
26651	8796	9
26651	16865	9
26651	22502	7
26651	5022	7
26651	18155	9
26651	24325	8
26651	29249	11
26651	4729	7
26651	20687	7
26651	223	10
26651	15848	7
26651	25555	8
26651	4184	8
26651	4732	9
26651	24690	9
26651	13658	7
26651	29242	7
26651	3307	10
26651	15925	7
26651	10352	9
26651	7017	7
26651	846	7
26651	29117	8
26651	13133	7
26651	7102	9
26651	30952	7
26651	28113	7
26651	648	9
26651	8811	7
26651	11256	7
26651	12390	7
26651	310	7
26651	7829	8
26651	12464	8
26651	7879	7
26651	1926	7
26651	10285	9
26651	1520	7
26651	26918	8
26651	28787	9
26651	10709	7
26651	12320	9
26651	17856	9
26651	24094	7
26651	11493	8
26651	2024	11
26651	20520	8
26651	24706	8
26651	13578	10
26651	2084	10
26651	19282	7
26651	30392	7
26651	16926	9
26651	24146	8
26651	28642	7
26651	10978	8
26651	5657	7
26651	13256	9
26651	23910	9
26651	19325	8
26651	3313	9
26651	27629	8
26651	22205	9
26651	11218	7
26651	24469	8
26651	15937	9
26651	12818	11
26651	30896	10
26651	1255	7
18107	16691	7
18107	4902	7
18107	9117	7
18107	2737	7
18107	4186	7
18107	17501	7
18107	30322	8
18107	236	7
18107	11153	8
18107	10985	7
18107	18662	7
18107	18012	7
18107	25528	7
18107	2454	7
18107	4266	8
18107	7473	7
18107	12178	7
18107	11938	8
18107	29339	7
18107	27256	7
18107	15725	7
18107	9643	7
18107	9991	7
18107	18229	7
18107	510	7
18107	9018	7
18107	29883	7
18107	15729	8
18107	24504	7
18107	8816	7
18107	25420	8
18107	12313	8
18107	19638	7
18107	19180	7
18107	18193	7
18107	28944	7
18107	17877	7
18107	243	7
18107	7180	7
18107	1019	7
18107	6345	7
18107	591	7
18107	28956	8
18107	18487	7
18107	15344	7
18107	7932	7
18107	6593	8
18107	15604	8
18107	30665	7
18107	16901	7
18107	23182	7
18107	5797	7
18107	16909	7
18107	17346	7
18107	8637	8
18107	6349	7
18107	1959	7
18107	26404	8
18107	27163	7
18107	11415	7
18107	23545	7
18107	5015	7
18107	112	7
18107	17196	7
18107	9438	7
18107	18504	8
18107	920	7
18107	5387	7
18107	10099	7
18107	15805	7
18107	17489	8
18107	6518	7
18107	31016	8
18107	27428	7
18107	8796	7
18107	22459	8
18107	22502	7
18107	5022	7
18107	18155	7
18107	29249	7
18107	5341	8
18107	12195	7
18107	811	7
18107	223	8
18107	1245	7
18107	15848	8
18107	26048	7
18107	15808	8
18107	2044	8
18107	13658	7
18107	24274	8
18107	29242	7
18107	3307	7
18107	27523	7
18107	10352	8
18107	846	7
18107	22780	8
18107	15853	7
18107	29117	7
18107	5514	7
18107	7102	7
18107	648	7
18107	17809	7
18107	4680	7
18107	12464	8
18107	10285	7
18107	10312	7
18107	1144	7
18107	26918	7
18107	28787	7
18107	4261	7
18107	27205	7
18107	21109	7
18107	8735	8
18107	12320	7
18107	17856	7
18107	24094	7
18107	312	7
18107	1026	7
18107	8417	7
18107	2024	7
18107	20520	7
18107	17376	7
18107	7467	8
18107	2084	7
18107	15922	7
18107	30835	7
18107	15603	8
18107	16926	7
18107	28642	8
18107	29572	8
18107	99	7
18107	10978	7
18107	5657	7
18107	13256	8
18107	23910	8
18107	26288	7
18107	12029	8
18107	2493	8
18107	23709	7
18107	15823	8
18107	22205	8
18107	5142	8
18107	22963	8
18107	11269	7
18107	12818	8
18107	30896	8
19909	26666	9
19909	16691	7
19909	26531	7
19909	18414	7
19909	4902	8
19909	11510	7
19909	9117	8
19909	19052	7
19909	4186	8
19909	17501	8
19909	10873	7
19909	26646	7
19909	30322	8
19909	236	8
19909	11153	9
19909	10985	8
19909	18662	8
19909	18012	8
19909	25528	7
19909	2193	7
19909	17263	7
19909	2454	7
19909	8427	7
19909	4266	9
19909	7473	8
19909	11938	8
19909	1400	8
19909	29339	8
19909	27256	9
19909	24268	8
19909	11660	8
19909	24149	7
19909	15725	8
19909	9991	8
19909	5397	7
19909	10697	7
19909	26797	7
19909	10386	7
19909	14919	7
19909	18229	8
19909	20629	7
19909	510	8
19909	9018	9
19909	28091	7
19909	7726	7
19909	29883	8
19909	4026	7
19909	15734	7
19909	15729	9
19909	24504	7
19909	8816	9
19909	25420	8
19909	12313	8
19909	19638	8
19909	18438	7
19909	24200	8
19909	19180	7
19909	10392	7
19909	18193	8
19909	17507	7
19909	28944	7
19909	4124	7
19909	17877	7
19909	5389	8
19909	243	9
19909	7180	7
19909	1019	9
19909	19227	8
19909	6345	8
19909	591	8
19909	30596	7
19909	28956	8
19909	18487	9
19909	13729	7
19909	15344	9
19909	5375	7
19909	25326	7
19909	15978	7
19909	27126	7
19909	4682	8
19909	7932	9
19909	6593	8
19909	455	7
19909	15604	8
19909	16719	8
19909	593	7
19909	5370	8
19909	17811	7
19909	17280	7
19909	29717	7
19909	26158	7
19909	16901	8
19909	23182	8
19909	5797	7
19909	28669	7
19909	11387	7
19909	16909	9
19909	17346	8
19909	27436	7
19909	8637	8
19909	6349	7
19909	1959	8
19909	24475	7
19909	26404	8
19909	27163	7
19909	17603	7
19909	2536	7
19909	19296	8
19909	11415	8
19909	11941	7
19909	13444	7
19909	23545	7
19909	5015	7
19909	5768	7
19909	22241	7
19909	9438	8
19909	920	7
19909	2527	8
19909	5387	8
19909	10099	8
19909	23117	7
19909	5825	7
19909	13147	8
19909	2178	7
19909	17489	8
19909	17225	7
19909	1152	7
19909	3983	7
19909	31016	8
19909	7117	7
19909	27428	9
19909	8796	7
19909	16307	7
19909	6198	7
19909	22459	8
19909	8753	7
19909	16865	7
19909	22873	7
19909	4785	8
19909	12509	8
19909	5022	7
19909	18155	8
19909	29249	8
19909	1621	9
19909	5341	9
19909	12195	8
19909	9052	7
19909	4729	7
19909	811	8
19909	223	9
19909	1245	7
19909	15848	8
19909	26048	7
19909	25555	7
19909	15808	7
19909	4732	9
19909	2044	7
19909	24690	8
19909	24274	8
19909	3307	8
19909	27523	8
19909	748	8
19909	30823	7
19909	10352	8
19909	17348	7
19909	28237	7
19909	846	7
19909	22780	8
19909	15853	7
19909	17149	7
19909	6852	7
19909	29117	8
19909	5514	8
19909	7102	9
19909	28113	7
19909	26355	7
19909	12390	7
19909	4275	8
19909	4455	7
19909	17809	9
19909	4680	9
19909	12464	7
19909	13315	7
19909	1926	8
19909	10285	8
19909	26918	7
19909	28787	9
19909	4261	7
19909	27205	7
19909	21109	8
19909	8735	8
19909	20816	8
19909	10709	7
19909	12320	9
19909	17856	9
19909	24094	7
19909	312	8
19909	11493	7
19909	2889	8
19909	8417	8
19909	2024	8
19909	20520	8
19909	17376	9
19909	7467	8
19909	13578	7
19909	27482	8
19909	2084	8
19909	15922	8
19909	30835	7
19909	6078	7
19909	30392	7
19909	15603	8
19909	16926	7
19909	24146	7
19909	28642	9
19909	5769	7
19909	29572	8
19909	10978	8
19909	5657	8
19909	13256	7
19909	23910	8
19909	19325	7
19909	26288	8
19909	12207	7
19909	12029	8
19909	2493	9
19909	14050	7
19909	23709	8
19909	16885	7
19909	3313	7
19909	15823	8
19909	3704	7
19909	25456	7
19909	27629	8
19909	22205	9
19909	670	7
19909	2445	8
19909	227	7
19909	24469	8
19909	15937	8
19909	22963	8
19909	4649	7
19909	2767	7
19909	14680	7
19909	11269	9
19909	12818	8
19909	30896	9
26666	16691	8
26666	4902	10
26666	28582	7
26666	11800	7
26666	11510	7
26666	2307	7
26666	2737	7
26666	10873	8
26666	30322	10
26666	20296	7
26666	236	8
26666	11306	7
26666	10985	9
26666	18662	8
26666	18012	10
26666	18611	7
26666	28489	7
26666	2454	9
26666	16543	7
26666	1400	8
26666	29339	9
26666	27256	10
26666	12076	7
26666	16136	7
26666	24149	8
26666	24408	7
26666	15725	9
26666	9643	8
26666	9991	9
26666	9974	7
26666	26797	9
26666	10386	7
26666	14919	7
26666	510	9
26666	9018	10
26666	28091	8
26666	7726	9
26666	23270	7
26666	5789	7
26666	8191	7
26666	24504	9
26666	8816	10
26666	25420	10
26666	18438	8
26666	26988	7
26666	24200	10
26666	2969	7
26666	19180	7
26666	10392	8
26666	5121	7
26666	18193	10
26666	18766	7
26666	1188	7
26666	28944	8
26666	4124	9
26666	21827	7
26666	21666	7
26666	5389	9
26666	10700	7
26666	27493	7
26666	19227	10
26666	10698	7
26666	30596	7
26666	28956	9
26666	18487	10
26666	13729	7
26666	15344	10
26666	5375	8
26666	25326	9
26666	22896	7
26666	17478	8
26666	15978	9
26666	4682	8
26666	23658	8
26666	6593	10
26666	455	8
26666	15604	8
26666	16719	9
26666	593	8
26666	20102	7
26666	5370	9
